Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Laterns - Gapfohl,https://sielok.hu/siterep/laterns/,Vorarlberg,1040,1785,27.0,745,5,2022.12.16.,2023.03.26.,886.0,43.0,3,0,8.0,15.0,4.0,2,0,0,0
Lermoos - Grubigstein,https://sielok.hu/siterep/lermoos-grubigstein/,Tirol,1004,2100,26.5,1096,8,2022.12.16.,2023.04.10.,748.0,56.0,1,0,14.4,10.2,1.9,4,0,3,0
Leutasch,https://sielok.hu/siterep/leutasch/,Tirol,1140,1363,5.0,223,3,,,754.0,35.0,2,0,3.0,1.5,0.5,1,0,0,0
Lienz - Hochstein,https://sielok.hu/siterep/lienz-hochstein/,Tirol,668,2023,12.0,1355,4,2022.12.23.,2023.03.12.,656.0,55.0,2,1,0.5,7.3,4.2,1,0,0,0
Lienz - Zettersfeld,https://sielok.hu/siterep/lienz-zettersfeld/,Tirol,1660,2278,21.0,618,6,2022.12.17.,2023.04.10.,655.0,55.0,2,0,7.9,11.5,1.6,3,0,1,0
Lilienfeld - Muckenkogel,https://sielok.hu/siterep/lilienfeld/,Alsó-Ausztria,473,1134,3.0,661,1,,,315.0,,0,0,2.0,1.0,0.0,1,0,0,0
Lofer,https://sielok.hu/siterep/lofer/,Salzburg,640,1670,46.0,1030,10,2022.12.10.,2023.04.10.,587.0,49.5,5,0,32.0,12.0,2.0,3,0,2,0
Lunz am See - Maiszinken,https://sielok.hu/siterep/lunz/,Alsó-Ausztria,790,1030,4.5,240,2,,,402.0,21.0,2,0,2.0,2.0,0.5,0,0,0,0
Mallnitz - Ankogel,https://sielok.hu/siterep/ankogel/,Karintia,1266,2636,12.8,1370,5,2022.12.17.,2023.03.26.,628.0,59.0,3,0,2.8,5.0,5.0,0,2,0,0
Maria Neustift - Glasenberg,https://sielok.hu/siterep/maria-neustift-glasenberg/,Felső-Ausztria,780,971,4.0,191,1,,,412.0,15.0,1,0,3.0,1.0,0.0,0,0,0,0
Mariazell - Bürgeralpe,https://sielok.hu/siterep/mariazell/,Stájerország,851,1267,11.5,416,4,2022.12.17.,2023.03.19.,366.0,44.0,1,0,7.0,3.0,1.5,2,0,1,0
Maurach - Rofan,https://sielok.hu/siterep/maurach-rofan/,Tirol,980,1870,11.0,890,5,2022.12.17.,2023.04.02.,698.0,38.0,2,0,1.0,8.0,2.0,2,1,0,0
